Name,SMILES,Interacts with,Interaction,InteractionActions,Total Molweight,Molweight,Monoisotopic Mass,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Mutagenic,Tumorigenic,Reproductive Effective,Irritant,Shape Index,Molecular Flexibility,Molecular Complexity,Fragments,Non-H Atoms,Non-C/H Atoms,Metal-Atoms,Electronegative Atoms,Stereo Centers,Rotatable Bonds,Rings Closures,Aromatic Atoms,sp3-Atoms,Small Rings,Carbo-Rings,Hetero-Rings,Saturated Rings,Non-Aromatic Rings,Aromatic Rings,Saturated Carbo-Rings,Non-Aromatic Carbo-Rings,Carbo-Aromatic Rings,Saturated Hetero-Rings,Non-Aromatic Hetero-Rings,Hetero-Aromatic Rings,Amides,Amines,Alkyl-Amines,Aromatic Amines,Aromatic Nitrogens,Basic Nitrogens,Acidic Oxygens
hemistepsin,C=C1CC2C(C(C3C1CC(C3=C)O)OC(=O)C(=C)CO)C(=C)C(=O)O2,AKT1,2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one inhibits the reaction [hemistepsin results in decreased phosphorylation of AKT1 protein],decreases^phosphorylation|decreases^reaction,346.378,346.378,346.14164,1.3523,-2.71,6,2,248.48,0.29089,93.06,-6.8034,none,none,none,high,0.4,0.29761,0.93236,1,25,6,0,6,6,4,3,0,13,3,2,1,3,3,0,2,2,0,1,1,0,0,0,0,0,0,0,0
ibrutinib,C=CC(=O)N1CCCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)N,BMI1,ibrutinib results in decreased expression of BMI1 mRNA,decreases^expression,440.506,440.506,440.196074,3.6932,-6.321,8,1,338.01,0.24153,99.16,-2.4084,high,low,low,low,0.54545,0.38293,0.92528,1,33,8,0,8,1,5,5,21,6,5,2,3,1,1,4,0,0,2,1,1,2,1,1,0,1,4,0,0
vernodalin,C=CC12CC(C3C(C1C(=C)C(=O)OC2)OC(=O)C3=C)OC(=O)C(=C)CO,JUN,MAPK8 protein affects the reaction [vernodalin results in increased phosphorylation of JUN protein],affects^reaction|increases^phosphorylation,360.361,360.361,360.120905,0.8315,-2.525,7,1,257.08,0.31982,99.13,-9.8409,none,none,none,high,0.46154,0.34251,0.97017,1,26,7,0,7,5,5,3,0,12,3,1,2,3,3,0,1,1,0,2,2,0,0,0,0,0,0,0,0
PQQ Cofactor,C1=C(C2=C(C(=O)C(=O)C3=C2NC(=C3)C(=O)O)N=C1C(=O)O)C(=O)O,MAPK3,[Rotenone co-treated with PQQ Cofactor] results in increased phosphorylation of MAPK3 protein,affects^cotreatment|increases^phosphorylation,330.208,330.208,330.012418,-0.8801,-2.648,10,4,215.65,0.60032,174.72,-1.2407,none,none,none,none,0.45833,0.25031,0.98611,1,24,10,0,10,0,3,3,11,3,3,1,2,0,1,2,0,1,0,0,0,2,0,0,0,0,2,0,3
Ellagic Acid,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,TP53,Ellagic Acid promotes the reaction [Quercetin results in increased phosphorylation of TP53 protein],increases^phosphorylation|increases^reaction,302.194,302.194,302.00627,1.2774,-3.286,8,4,186.92,0.52686,133.52,-1.5983,none,none,none,none,0.45455,0.062267,1.0031,1,22,8,0,8,0,0,4,12,6,4,2,2,0,2,2,0,0,2,0,2,0,0,0,0,0,0,0,0
fisetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,TP53,[Cisplatin co-treated with fisetin] affects the localization of TP53 protein,affects^cotreatment|affects^localization,286.238,286.238,286.04774,1.8359,-2.787,6,4,195.59,0.3857,107.22,-0.082832,high,none,none,none,0.52381,0.29798,0.83766,1,21,6,0,6,0,1,3,12,5,3,2,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0
Luteolin,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,JUN,Luteolin analog inhibits the reaction [Tetradecanoylphorbol Acetate affects the localization of JUN protein],affects^localization|decreases^reaction,286.238,286.238,286.04774,1.99,-2.56,6,4,197.38,0.38221,107.22,0.28194,none,none,none,none,0.52381,0.26365,0.81997,1,21,6,0,6,0,1,3,12,5,3,2,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0
"3',4',7-trihydroxyisoflavone",C1=CC(=C(C=C1C2=COC3=C(C2=O)C=CC(=C3)O)O)O,TP53,"3',4',7-trihydroxyisoflavone promotes the reaction [Epirubicin results in increased expression of TP53 mRNA]",increases^expression|increases^reaction,270.239,270.239,270.052825,1.6272,-2.727,5,3,191.03,0.32634,86.99,-0.093853,none,none,none,none,0.6,0.31623,0.80291,1,20,5,0,5,0,1,3,12,4,3,2,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0
Rosmarinic Acid,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,TGFB1,[Rosmarinic Acid co-treated with Rosiglitazone co-treated with TF protein co-treated with INS protein co-treated with Dexamethasone co-treated with 1-Methyl-3-isobutylxanthine co-treated with Hydrocortisone co-treated with Triiodothyronine] results in decreased expression of TGFB1 mRNA,affects^cotreatment|decreases^expression,360.317,360.317,360.08452,1.4502,-2.231,8,5,263.03,0.38619,144.52,-3.8118,none,none,none,none,0.61538,0.42825,0.71292,1,26,8,0,8,1,7,2,12,8,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1
SD-208,C1=CC(=C(C=C1Cl)C2=NC3=NC=CN=C3C(=N2)NC4=CC=NC=C4)F,TGFB1,SD-208 inhibits the reaction [TGFB1 protein results in increased expression of CXCR4 protein],decreases^reaction|increases^expression,352.759,352.759,352.063949,3.0476,-5.766,6,1,254.41,0.26064,76.48,-2.0892,none,none,none,none,0.48,0.30201,0.85009,1,25,8,0,8,0,3,4,22,0,4,1,3,0,0,4,0,0,1,0,0,3,0,1,0,1,5,1,0
"2',4'-dichlorobenzamil amiloride",C1=CC(=C(C=C1Cl)Cl)CNN=CNC(=O)C2=C(N=C(C(=N2)Cl)N)N,TGFB1,"2',4'-dichlorobenzamil amiloride inhibits the reaction [TGFB1 protein results in increased expression of CCN2 mRNA]",decreases^reaction|increases^expression,388.645,388.645,387.016889,1.6264,-5.331,8,4,273.03,0.36608,131.31,3.284,none,none,none,none,0.66667,0.37403,0.75181,1,24,11,0,11,0,4,2,12,1,2,1,1,0,0,2,0,0,1,0,0,1,1,2,0,2,2,0,0
"4,4'-Diisothiocyanostilbene-2,2'-Disulfonic Acid",C1=CC(=C(C=C1N=C=S)S(=O)(=O)O)C=CC2=C(C=C(C=C2)N=C=S)S(=O)(=O)O,TP53,"4,4'-Diisothiocyanostilbene-2,2'-Disulfonic Acid inhibits the reaction [Oxygen deficiency results in increased expression of TP53 protein]",decreases^reaction|increases^expression,454.527,454.527,453.942168,1.9028,-2.302,8,2,319.94,0.50753,214.4,-7.402,high,high,none,high,0.57143,0.3972,0.83644,1,28,12,0,12,0,6,2,12,6,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2
3-((3-trifluoromethyl)phenyl)-5-((3-carboxyphenyl)methylene)-2-thioxo-4-thiazolidinone,C1=CC(=CC(=C1)N2C(=O)C(=CC3=CC=C(C=C3)C(=O)O)SC2=S)C(F)(F)F,TGFB1,3-((3-trifluoromethyl)phenyl)-5-((3-carboxyphenyl)methylene)-2-thioxo-4-thiazolidinone results in increased expression of TGFB1 mRNA,increases^expression,409.407,409.407,409.005418,3.2257,-5.774,4,1,276.04,0.31959,115,-4.4744,none,none,none,none,0.55556,0.43717,0.81047,1,27,9,0,9,0,4,3,12,4,3,2,1,1,1,2,0,0,2,1,1,0,1,0,0,0,0,0,1
nifuroxazide,C1=CC(=CC=C1C(=O)NN=CC2=CC=C(O2)[N+](=O)[O-])O,TP53,nifuroxazide affects the activity of TP53 protein,affects^activity,275.219,275.219,275.054222,1.4744,-4.092,8,2,206.7,0.45302,120.65,3.0582,high,high,none,none,0.7,0.33487,0.64441,1,20,8,0,8,0,4,2,11,2,2,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0
epsilon-viniferin,C1=CC(=CC=C1C=CC2=C3C(C(OC3=CC(=C2)O)C4=CC=C(C=C4)O)C5=CC(=CC(=C5)O)O)O,AKT1,epsilon-viniferin inhibits the reaction [N-Formylmethionine Leucyl-Phenylalanine results in increased phosphorylation of AKT1 protein],decreases^reaction|increases^phosphorylation,454.477,454.477,454.14164,4.8239,-4.882,6,5,332.29,0.22721,110.38,-0.47845,none,none,high,none,0.47059,0.24763,0.91432,1,34,6,0,6,2,4,5,24,8,5,4,1,0,1,4,0,0,4,0,1,0,0,0,0,0,0,0,0
kaempferol,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,TP53,Caffeine inhibits the reaction [kaempferol results in increased phosphorylation of TP53 protein],decreases^reaction|increases^phosphorylation,286.238,286.238,286.04774,1.8359,-2.787,6,4,195.59,0.3857,107.22,-0.082832,high,none,none,none,0.52381,0.27571,0.83562,1,21,6,0,6,0,1,3,12,5,3,2,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0
daidzin,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)CO)O)O)O)O,FOS,daidzin results in increased expression of FOS mRNA,increases^expression,416.381,416.381,416.110735,-0.0164,-2.909,9,5,286.49,0.37886,145.91,-3.6206,none,high,high,none,0.56667,0.43295,0.88137,1,30,9,0,9,5,4,4,12,14,4,2,2,1,2,2,0,0,2,1,2,0,0,0,0,0,0,0,0
Genistein,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,TP53,anacardic acid inhibits the reaction [Genistein promotes the reaction [trichostatin A results in increased acetylation of TP53 protein]],decreases^reaction|increases^acetylation|increases^reaction,270.239,270.239,270.052825,1.6272,-2.727,5,3,191.03,0.32634,86.99,-0.093853,high,high,high,none,0.6,0.29499,0.80083,1,20,5,0,5,0,1,3,12,4,3,2,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0
2-(4-nitrophenyl)-4-(4-fluorophenyl)-5-(4-pyridinyl)-1H-imidazole,C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)[N+](=O)[O-],FOS,2-(4-nitrophenyl)-4-(4-fluorophenyl)-5-(4-pyridinyl)-1H-imidazole promotes the reaction [sodium arsenite results in increased expression of FOS mRNA],increases^expression|increases^reaction,360.347,360.347,360.102254,3.1415,-6.111,6,1,269.65,0.24606,87.39,-5.7325,none,none,none,none,0.51852,0.3733,0.83644,1,27,7,0,7,0,4,4,23,1,4,2,2,0,0,4,0,0,2,0,0,2,0,0,0,0,3,1,0
4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)O,TP53,"4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole inhibits the reaction [7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide results in increased expression of TP53 protein]",decreases^reaction|increases^expression,331.349,331.349,331.11209,3.7174,-5.355,4,2,252.33,0.19431,61.8,-0.54773,none,none,none,none,0.52,0.35498,0.82757,1,25,5,0,5,0,3,4,23,1,4,2,2,0,0,4,0,0,2,0,0,2,0,0,0,0,3,1,0
entinostat,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,TP53,entinostat promotes the reaction [Etoposide results in increased expression of and results in increased acetylation of TP53 protein],increases^acetylation|increases^expression|increases^reaction,376.415,376.415,376.153541,2.1633,-4.205,7,3,296,0.28797,106.34,-11.025,none,none,none,none,0.67857,0.5049,0.70798,1,28,7,0,7,0,7,3,18,3,3,2,1,0,0,3,0,0,2,0,0,1,2,1,0,1,1,0,0
mocetinostat,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC3=NC=CC(=N3)C4=CN=CC=C4,CDK1,mocetinostat results in decreased expression of CDK1 mRNA,decreases^expression,396.453,396.453,396.169859,2.7505,-4.837,7,3,311.77,0.26988,105.82,1.225,none,none,none,none,0.63333,0.49697,0.76182,1,30,7,0,7,0,6,4,24,1,4,2,2,0,0,4,0,0,2,0,0,2,1,2,0,2,3,0,0
U 0126,C1=CC=C(C(=C1)N)SC(=C(C#N)C(=C(N)SC2=CC=CC=C2N)C#N)N,TP53,U 0126 affects the reaction [1-Methyl-4-phenylpyridinium affects the expression of TP53 mRNA],affects^expression|affects^reaction,380.499,380.499,380.087784,2.0552,-5.942,6,4,291.34,0.4228,202.26,-4.4615,none,none,none,none,0.53846,0.48925,0.76113,1,26,8,0,8,0,5,2,12,2,2,2,0,0,0,2,0,0,2,0,0,0,0,2,0,2,0,2,0
lly-283,C1=CC=C(C=C1)C(C2C(C(C(O2)N3C=CC4=C(N=CN=C43)N)O)O)O,TP53,TP53 protein results in increased susceptibility to lly-283,increases^response to substance,342.354,342.354,342.132806,-0.0013,-3.733,8,4,240.91,0.38761,126.65,-0.87484,high,none,none,low,0.52,0.38596,0.89827,1,25,8,0,8,5,3,4,15,9,4,1,3,1,1,3,0,0,1,1,1,2,0,1,0,1,3,0,0
salubrinal,C1=CC=C(C=C1)C=CC(=O)NC(C(Cl)(Cl)Cl)NC(=S)NC2=CC=CC3=C2N=CC=C3,MAPK14,salubrinal inhibits the reaction [Cadmium Chloride results in increased phosphorylation of MAPK14 protein],decreases^reaction|increases^phosphorylation,479.818,479.818,478.018862,4.7315,-6.056,5,3,346.89,0.24904,98.14,-0.093821,high,low,high,high,0.56667,0.48457,0.78413,1,30,9,0,9,1,6,3,16,3,3,2,1,0,0,3,0,0,2,0,0,1,1,0,0,0,1,0,0
2-phenyl-4-(3-pyridin-2-yl-1H-pyrazol-4-yl)pyridine,C1=CC=C(C=C1)C2=NC=CC(=C2)C3=C(NN=C3)C4=CC=CC=N4,TGFB1,2-phenyl-4-(3-pyridin-2-yl-1H-pyrazol-4-yl)pyridine results in decreased activity of TGFB1 protein,decreases^activity,298.348,298.348,298.121846,2.802,-3.933,4,1,238.39,0.19674,54.46,3.0902,none,none,none,none,0.56522,0.40019,0.82973,1,23,4,0,4,0,3,4,23,0,4,1,3,0,0,4,0,0,1,0,0,3,0,0,0,0,4,0,0
Triamterene,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N,TP53,Triamterene affects the activity of TP53 protein,affects^activity,253.268,253.268,253.107593,0.6075,-4.59,7,3,188.22,0.47652,129.62,-1.805,high,high,none,none,0.57895,0.26337,0.82225,1,19,7,0,7,0,1,3,16,0,3,1,2,0,0,3,0,0,1,0,0,2,0,3,0,3,4,2,0
FR 180204,C1=CC=C(C=C1)C2=NN3C=CC=CC3=C2C4=CC5=C(NN=C5N=N4)N,STAT3,"FR 180204 promotes the reaction [1,2,5,8-tetrahydroxy anthraquinone results in decreased phosphorylation of STAT3 protein]",decreases^phosphorylation|increases^reaction,327.35,327.35,327.123243,1.1184,-5.218,7,2,245.76,0.32996,97.78,-0.68095,low,high,none,none,0.44,0.29338,0.92506,1,25,7,0,7,0,2,5,24,0,5,1,4,0,0,5,0,0,1,0,0,4,0,1,0,1,6,0,0
3-(5'-hydroxymethyl-2'-furyl)-1-benzylindazole,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)C4=CC=C(O4)CO,TP53,3-(5'-hydroxymethyl-2'-furyl)-1-benzylindazole promotes the reaction [Camptothecin results in increased expression of TP53 protein],increases^expression|increases^reaction,304.348,304.348,304.121178,2.8289,-3.71,4,1,238.9,0.18857,51.19,3.6385,none,none,high,none,0.56522,0.39958,0.84479,1,23,4,0,4,0,4,4,20,3,4,2,2,0,0,4,0,0,2,0,0,2,0,0,0,0,2,0,0
Dicumarol,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O,TP53,"Dicumarol inhibits the reaction [2,5-diaziridinyl-3-(hydroxymethyl)-6-methyl-1,4-benzoquinone analog results in increased expression of TP53 protein]",decreases^reaction|increases^expression,336.298,336.298,336.06339,2.588,-3.34,6,2,233.82,0.30913,93.06,0.23903,none,none,low,none,0.52,0.37671,0.89477,1,25,6,0,6,0,2,4,12,5,4,2,2,0,2,2,0,0,2,0,2,0,0,0,0,0,0,0,0
Indirubin E804,C1=CC=C2C(=C1)C(=C(N2)O)C3=NC4=CC=CC=C4C3=NOCCC(CO)O,STAT3,"[6,2',4'-trimethoxyflavone co-treated with Indirubin E804] results in decreased expression of STAT3 mRNA",affects^cotreatment|decreases^expression,365.388,365.388,365.137557,2.734,-4.815,7,4,272.46,0.31678,110.43,-1.6863,none,none,none,high,0.51852,0.34117,0.90168,1,27,7,0,7,1,6,4,15,8,4,2,2,0,1,3,0,0,2,0,1,1,0,0,0,0,1,0,0
indirubin,C1=CC=C2C(=C1)C(=C(N2)O)C3=NC4=CC=CC=C4C3=O,CDK1,indirubin results in decreased expression of CDK1 mRNA,decreases^expression,262.267,262.267,262.074228,2.5427,-4.502,4,2,190.76,0.27071,65.45,1.8559,none,none,none,none,0.5,0.27995,0.87651,1,20,4,0,4,0,1,4,15,1,4,2,2,0,1,3,0,0,2,0,1,1,0,0,0,0,1,0,0
rebamipide,C1=CC=C2C(=C1)C(=CC(=O)N2)CC(C(=O)O)NC(=O)C3=CC=C(C=C3)Cl,MAPK3,rebamipide results in increased phosphorylation of MAPK3 protein,increases^phosphorylation,370.791,370.791,370.072035,1.6962,-3.937,6,3,268.43,0.27992,95.5,-9.7978,none,none,none,none,0.53846,0.48776,0.81997,1,26,7,0,7,1,5,3,12,3,3,2,1,0,1,2,0,0,2,0,1,0,2,0,0,0,0,0,1
HTS 466284,C1=CC=C2C(=C1)C(=CC=N2)C3=C(NN=C3)C4=CC=CC=N4,MAPK1,HTS 466284 inhibits the reaction [sodium arsenite results in increased expression of MAPK1 mRNA],decreases^reaction|increases^expression,272.31,272.31,272.106196,2.3687,-3.656,4,1,213.23,0.21995,54.46,3.0902,none,none,none,none,0.52381,0.33366,0.87179,1,21,4,0,4,0,2,4,21,0,4,1,3,0,0,4,0,0,1,0,0,3,0,0,0,0,4,0,0
bisindolylmaleimide,C1=CC=C2C(=C1)C(=CN2)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,AKT1,bisindolylmaleimide inhibits the reaction [NTS protein results in increased phosphorylation of and results in increased activity of AKT1 protein],decreases^reaction|increases^activity|increases^phosphorylation,327.342,327.342,327.100777,1.5839,-3.555,5,3,237.74,0.2756,77.75,3.3968,none,none,none,none,0.48,0.32754,0.93067,1,25,5,0,5,0,2,5,18,0,5,2,3,0,1,4,0,0,2,0,1,2,1,0,0,0,2,0,0
zopolrestat,C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)C(F)(F)F)CC(=O)O,IL6,"zopolrestat inhibits the reaction [Antigens, Plant results in increased secretion of IL6 protein]",decreases^reaction|increases^secretion,419.382,419.382,419.055146,2.9351,-4.6,6,1,280.92,0.30461,111.1,-2.3584,none,none,none,none,0.48276,0.4223,0.88979,1,29,10,0,10,0,5,4,15,4,4,2,2,0,1,3,0,0,2,0,1,1,0,0,0,0,1,0,1
N'-(3-bromo-4-hydroxybenzylidene)-2-(9-oxo-10(9H)-acridinyl)acetohydrazide,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3N2CC(=O)NN=CC4=CC(=C(C=C4)O)Br,CCNB1,4-(4-(N-benzoylamino)anilino)-6-methoxy-7-(3-(1-morpholino)propoxy)quinazoline inhibits the reaction [N'-(3-bromo-4-hydroxybenzylidene)-2-(9-oxo-10(9H)-acridinyl)acetohydrazide results in increased expression of CCNB1 protein],decreases^reaction|increases^expression,450.291,450.291,449.037503,4.6874,-7.091,6,2,300.04,0.21897,82,4.4456,none,none,none,none,0.51724,0.394,0.84087,1,29,7,0,7,0,4,4,18,3,4,3,1,0,1,3,0,0,3,0,1,0,0,1,0,1,0,0,0
Phenolsulfonphthalein,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,AKT1,Phenolsulfonphthalein results in decreased phosphorylation of and results in decreased activity of AKT1 protein,decreases^activity|decreases^phosphorylation,354.381,354.381,354.056195,3.1333,-2.08,5,2,240.97,0.26883,92.21,-1.7178,high,none,none,none,0.44,0.32587,0.8512,1,25,6,0,6,0,2,4,18,5,4,3,1,0,1,3,0,0,3,0,1,0,0,0,0,0,0,0,0
NSC 689534,C1=CC=NC(=C1)CN(CC2=CC=CC=N2)C(=S)NN=CC3=CC=CC=N3,MYC,[NSC 689534 binds to Copper] which results in decreased expression of MYC mRNA,affects^binding|decreases^expression,362.46,362.46,362.131364,2.1455,-2.785,6,1,295.81,0.29556,98.39,4.0195,high,none,high,none,0.53846,0.46478,0.67279,1,26,7,0,7,0,6,3,18,3,3,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0
GW8510,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=CC3=C(NC4=C3C5=C(C=C4)N=CS5)O,CDK2,GW8510 results in decreased activity of CDK2 protein,decreases^activity,449.514,449.514,449.06163,2.6825,-5.202,8,3,316.16,0.38253,156.95,1.9756,high,high,high,none,0.54839,0.36455,0.90851,1,31,10,0,10,0,4,5,24,2,5,2,3,0,0,5,0,0,2,0,0,3,1,0,0,0,3,0,0
Sulfasalazine,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,NFKB1,Sulfasalazine inhibits the reaction [Lipopolysaccharides results in increased activity of NFKB1 protein],decreases^reaction|increases^activity,398.398,398.398,398.068491,2.6508,-4.888,9,3,285.05,0.39737,149.69,-8.1467,high,high,high,none,0.60714,0.44037,0.77373,1,28,10,0,10,0,5,3,18,3,3,2,1,0,0,3,0,0,2,0,0,1,1,0,0,0,1,0,1
"N-(3-chloro-7-indolyl)-1,4-benzenedisulphonamide",C1=CC2=C(C(=C1)NS(=O)(=O)C3=CC=C(C=C3)S(=O)(=O)N)NC=C2Cl,RB1,"N-(3-chloro-7-indolyl)-1,4-benzenedisulphonamide results in decreased phosphorylation of RB1 protein",decreases^phosphorylation,385.851,385.851,384.995774,1.3681,-4.109,7,3,249.75,0.39191,138.88,3.755,high,none,none,none,0.54167,0.45276,0.81435,1,24,10,0,10,0,3,3,15,2,3,2,1,0,0,3,0,0,2,0,0,1,2,0,0,0,1,0,0
NSC668394,C1=CC2=C(C(=O)C(=CC2=O)NCCC3=CC(=C(C(=C3)Br)O)Br)N=C1,MYC,NSC668394 results in increased expression of MYC mRNA,increases^expression,452.101,452.101,449.921465,2.8993,-4.801,5,2,261.08,0.23598,79.29,0.8005,high,none,low,none,0.58333,0.46694,0.84206,1,24,7,0,7,0,4,3,12,3,3,2,1,0,1,2,0,1,1,0,0,1,0,0,0,0,1,0,0
NSC-87877,C1=CC2=C(C=C(C(=C2N=C1)O)N=NC3=CC4=C(C=C3)C=C(C=C4)S(=O)(=O)O)S(=O)(=O)O,STAT3,NSC-87877 inhibits the reaction [tubocapsenolide A results in decreased phosphorylation of STAT3 protein],decreases^phosphorylation|decreases^reaction,459.458,459.458,459.019492,0.5679,-3.336,10,3,300.21,0.43453,183.34,-7.6538,low,high,high,high,0.51613,0.33906,0.8988,1,31,12,0,12,0,4,4,20,5,4,3,1,0,0,4,0,0,3,0,0,1,0,0,0,0,1,0,2
Fluorescein-5-isothiocyanate,C1=CC2=C(C=C1N=C=S)C(=O)OC23C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O,MAPK3,Fluorescein-5-isothiocyanate inhibits the reaction [Dinitrofluorobenzene results in increased phosphorylation of MAPK3 protein],decreases^reaction|increases^phosphorylation,389.386,389.386,389.035794,4.9759,-4.94,6,2,271.92,0.36316,120.44,-10.78,high,high,high,none,0.46429,0.10689,0.94342,1,28,7,0,7,0,1,5,18,6,5,3,2,0,2,3,0,0,3,0,2,0,0,0,0,0,0,0,0
sparstolonin B,C1=CC2=C(C=C1O)C3=COC(=C4C3=C(O2)C=CC4=O)O,CDK1,sparstolonin B results in decreased expression of CDK1 mRNA,decreases^expression,268.224,268.224,268.037175,1.3004,-3.733,5,2,180.26,0.32864,75.99,0.8745,none,none,none,none,0.45,0.13352,0.93729,1,20,5,0,5,0,0,4,6,4,4,2,2,0,3,1,0,1,1,0,2,0,0,0,0,0,0,0,0
Coumestrol,C1=CC2=C(C=C1O)OC3=C2C(=O)OC4=C3C=CC(=C4)O,MYC,[Coumestrol co-treated with ESR1 protein] results in increased expression of MYC mRNA,affects^cotreatment|increases^expression,268.224,268.224,268.037175,2.8407,-4.345,5,2,184.26,0.34381,79.9,-0.4041,high,none,high,none,0.55,0.012597,0.90677,1,20,5,0,5,0,0,4,15,3,4,2,2,0,1,3,0,0,2,0,1,1,0,0,0,0,0,0,0
GW 506033X,C1=CC2=C(C3=C1NC(=O)C3=CC4=CN=CN4)SC=N2,FOS,GW 506033X inhibits the reaction [Lipopolysaccharides promotes the reaction [TNFSF11 protein results in increased expression of FOS protein]],decreases^reaction|increases^expression|increases^reaction,268.3,268.3,268.041881,0.4343,-2.435,5,2,191.07,0.42283,98.91,3.7005,none,none,none,none,0.47368,0.15612,0.89906,1,19,6,0,6,0,1,4,14,0,4,1,3,1,1,3,0,0,1,1,1,2,1,0,0,0,3,1,0
selinexor,C1=CN=C(C=N1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,TP53,[INCB057643 co-treated with selinexor] results in increased expression of TP53 protein,affects^cotreatment|increases^expression,443.31,443.31,443.092926,2.572,-4.583,8,2,303.11,0.28607,97.62,-4.5155,none,none,low,none,0.54839,0.45396,0.81905,1,31,14,0,14,0,7,3,17,2,3,1,2,0,0,3,0,0,1,0,0,2,0,0,0,0,5,0,0
3-deazaneplanocin,C1=CN=C(C2=C1N(C=N2)C3C=C(C(C3O)O)CO)N,MYC,[3-deazaneplanocin co-treated with trichostatin A] affects the expression of MYC protein,affects^cotreatment|affects^expression,262.268,262.268,262.106591,-0.8991,-0.433,7,4,184.62,0.45163,117.42,1.7618,none,none,none,none,0.52632,0.2269,0.85046,1,19,7,0,7,3,2,3,9,7,3,1,2,0,1,2,0,1,0,0,0,2,0,1,0,1,3,2,0
Catechin,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,TP53,Catechin results in increased expression of TP53 mRNA,increases^expression,290.27,290.27,290.07904,1.5087,-1.764,6,5,200.03,0.37744,110.38,0.31525,none,none,none,none,0.52381,0.27965,0.8227,1,21,6,0,6,2,1,3,12,9,3,2,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0
eriodictyol,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,CCND1,eriodictyol inhibits the reaction [Tetradecanoylphorbol Acetate results in increased expression of CCND1 mRNA],decreases^reaction|increases^expression,288.254,288.254,288.06339,1.81,-2.344,6,4,198.93,0.37923,107.22,-0.22006,none,none,none,none,0.52381,0.27849,0.81719,1,21,6,0,6,1,1,3,12,7,3,2,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0
